Item,SKU Interno,Grupo,Producto,Especificación,Funcionalidad,Medidas,Compatibilidad,Comentarios Técnicos y de Venta,Imagen
33,VR-ENRT-00034,Motor (Engine),Retén del tambor de cambios,Sella el eje que atraviesa el motor de lado a lado para conectar el pedal de cambios con la transmisión interna.,Evitar fugas en el eje del pedal de velocidades.,"14 mm: Diámetro interno (lo que mide el eje de velocidades). Un eje de 11mm sería demasiado delgado para estas motos de trabajo; se doblaría.
24 mm: Diámetro externo (el orificio en la carcasa del motor).
10 mm: El grosor del retén (algunos vienen de 6mm o 7mm y también funcionan, pero el de 10mm sella mejor).","Italika: FT125, FT150 (todas), DT125, DT150, Forza 125, Delivery 150.
Honda: CGL125, Cargo 125.
Vento: Workman 125/150, Ryder 150, Lithium 150.
Clones CG: Dinamo, Kurazai, Carabela 125-200cc.",Medida 14x24x10mm. Un retén grueso (10mm) dura mucho más que las versiones económicas de 6mm.,
34,VR-ENRV-00035,Motor (Engine),Retenes de válvula,Juego (2 pzas),Sellar el paso de aceite de la cabeza hacia la cámara de combustión.,"Diámetro Interno (Vástago): 5.5 mm.
Diámetro Externo (Base): 10 mm - 11 mm.
Cantidad: 2 piezas (Una para la válvula de Admisión y otra para la de Escape).","Italika: FT125, FT150, DT125, DT150, Forza, Delivery 150, 125Z, 150Z (Varillera)
Honda: CGL125 Tool, Cargo 125, Cargo 150 (Varillera)
Vento: Workman 125/150, Ryder 150, Lithium 150, Cyclone 150/200.
Generales: Motores tipo CG 125cc, 150cc, 200cc y 250cc",Se deben cambiar si la moto saca humo azul al encender por las mañanas. El kit incluye 2 piezas (admisión/escape).,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fen%2FVR-ENRV-00035.webp?alt=media&token=3f53b930-c29c-47e0-9626-8dd81101236e
35,VR-FRKT-00036,Frenos,Kit freno tambor,Zapata + resortes + pernos tipo CG,Sistema de frenado integral para ruedas de maza.,"Diámetro de Zapata: 110 mm
Ancho de Zapata: 25 mm
Largo de Resortes: 35 mm a 40 mm (estándar de tensión alta)
Diámetro de Pernos: Estándar para maza de 110mm (aprox. 8mm de grosor)","FT125/150, CGL125, Workman 125/150, clones CG, Similares","Incluye zapatas, resortes y pernos. Ideal para una renovación total del sistema de frenado trasero.",
36,VR-FRMA-00037,Frenos,Leva de freno (manija),Tipo CG,Accionar el freno delantero de tambor.,"Largo Total:185 mm - 190 mm, 7.3"" - 7.5""
Diámetro del barreno (Pivote): 8 mm, 5/16""
Grosor en la base (donde va el perno):12 mm, 0.47""
Diámetro del orificio para el cable (Barril):10 mm,""3/8""
Ancho de la ranura para el cable: 3 mm - 4 mm,""1/8""","FT125/150, CGL125, Workman 125/150",Aluminio de alta resistencia. Verifique que el cable del freno corra libremente antes de instalar la nueva manija.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Ffr%2FVR-FRMA-00037.webp?alt=media&token=278a7462-9034-4756-a532-42ba4c04d044
37,VR-FRPA-00038,Frenos,Balatas de Freno,Delanteras (Disco),Proporcionar fricción para frenado de disco delantero.,"Largo: ~77mm
Ancho: ~42mm","XR150L, FT150TS, DT150 Sport, DM150/200",Medida 77x42mm. Se deben cambiar antes de que la pasta llegue a 1mm de espesor para no dañar el disco.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Ffr%2FVR-FRPA-00038.webp?alt=media&token=4925de9b-5ba6-4832-8c9c-e5a2264fa26f
38,VR-FRZA-00039,Frenos,Zapata freno trasero,"Tambor, tipo CG",Proporcionar fricción en el frenado trasero de tambor.,"Diámetro Exterior: 110 mm (Estando cerrada).
Ancho de la Zapata (Pasta): 25 mm.
Grosor del Material de Fricción: 4 mm (Aproximadamente, cuando es nueva).
Componentes: 2 zapatas de media luna + 2 resortes de tensión.","FT125/150, CGL125, Workman 125/150, clones CG, Similares",Diámetro 110mm. Pasta de larga duración. Se recomienda limpiar el tambor con lija antes de instalar.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Ffr%2FVR-FRZA-00039.webp?alt=media&token=2998c626-4365-441e-a955-2d68430c21fb
39,VR-KT-EN-00040,Motor (Engine),Kit Afinación Italika/Tool,VR-ENAC-00017 + VR-ENBJ-00018 + VR-CBFA-00007 + VR-CBFG-00010,Mantenimiento preventivo completo del motor.,"Aceite 1L
Bujía 10mm
Filtro 122mm (Cil) o 150mm (Plano)","Italika: FT125/150, DT125/150, Forza 125/150. Honda: CGL125 Tool. Vento: Workman 125/150.","Combo Venta: Incluye Aceite, Bujía y Filtros. Es la compra básica de cada 3 meses para cualquier motociclista.",
40,VR-KT-EN-00041,Motor (Engine),"Kit Motor ""Cero Fugas"" 56.5mm",VR-ENJT-00025 + VR-ENJT-00027 + VR-ENRT-00032 + VR-ENRT-00034 + VR-ENOR-00029,Eliminar todas las filtraciones de aceite en motores 125cc.,"Juntas 56.5mm
Retenes 20x34x7mm, 14x24mm","Universal Motores CG: Italika FT/DT, Honda CGL125 Tool, Vento Ryder/Lithium/Workman y clones CG 125-200cc.",Incluye todas las juntas y retenes principales. Ideal cuando el motor se ve sucio y gotea por varios puntos.,
41,VR-KT-EN-00042,Motor (Engine),"Kit Motor ""Cero Fugas"" 62mm",VR-ENJT-00026 + VR-ENJT-00027 + VR-ENRT-00033 + VR-ENRT-00034 + VR-ENOR-00029,Eliminar filtraciones de aceite en motores 150cc.,"Juntas 62mm
Retenes 20x35x7mm, 14x24x10mm","Universal Motores CG: Italika FT/DT, Honda CGL125 Tool, Vento Ryder/Lithium/Workman y clones CG 125-200cc.","Misma función que el anterior, pero con juntas de 62mm para el cilindro de 150cc.",
42,VR-KT-EN-00043,Motor (Engine),Kit Afinación Boxer 150,VR-ENAC-00017 + VR-ENBJ-00021 + VR-ENFO-00024 + VR-TRCH-00050,Mantenimiento completo para Bajaj Boxer.,"Aceite 1L
Filtro 40x40mm
Chicote 105cm","Bajaj: Boxer 150 (BM150), Boxer 150X, Boxer UG (5 velocidades).","Incluye el filtro de aceite de papel y el chicote de clutch, piezas que fallan seguido en este modelo.",
43,VR-KT-FR-00044,Frenos,Kit Frenado Total,VR-FRPA-00038 + VR-FRZA-00039,Renovación de frenos delanteros y traseros.,"Pastillas 77x42mm
Zapatas 110mm","Honda: XR150L, XR190L. Italika: DM150, DM200, FT150TS, DT150 Sport. Vento: Crossmax 150/200.",Incluye balatas de disco y zapatas de tambor. Perfecto para motos Doble Propósito.,
44,VR-KT-TR-00045,Transmisión,Kit de Arrastre Premium,VR-TRPN-00053 + VR-TRSP-00054 + VR-TRCA-00048 + VR-TRKS-00051,Transmitir la fuerza del motor a la rueda trasera de forma eficiente.,"Paso 428 
14D - 42D
128 Eslabones","Italika: FT150 (G, TS, GT, Delivery), DT150 Sport/Clásica, Forza 150. Honda: Cargo 150 (Varillera). Vento: Workman 150.","Acero 1045 (alta durabilidad). Incluye piñón 14T, sprocket 42T y cadena reforzada 428H.",
45,VR-KT-TR-00046,Transmisión,Kit de Clutch Maestro,VR-TRCC-00049 + VR-ENJT-00027 + VR-ENAC-00017,Restaurar la potencia y tracción del motor.,"Discos 110mm
Aceite 1L
Junta 0.5mm espesor","Italika: FT125/150, DT125/150, Forza 125/150. Honda: CGL125 Tool, Cargo 125/150 (Varillera). Vento: Workman 125/150.","Soluciona el problema de ""la moto revoluciona pero no avanza"". Incluye discos, aceite y junta.",
46,VR-SUAM-00047,Suspensión,Amortiguador trasero,Tipo CG,Absorber irregularidades del camino y soportar carga.,"Largo Total (Ojo a Ojo): 320 mm (es la medida estándar).
Diámetro de los Bujes (Hoyos): 12 mm (arriba) y 10 mm (abajo). Nota: Muchos traen reductores para adaptarse.
Tipo de Anclaje: Ojo - Ojo (Circular arriba, circular abajo).
Ajuste: 5 posiciones de precarga (para cuando la moto va cargada con bultos o repartidor).","Italika: FT125, FT150, DT125, DT150, Forza, Delivery 150, 125Z, 150Z (Varillera).
Honda: CGL125 Tool, Cargo 125, Cargo 150 (Varillera).
Vento: Workman 125/150, Ryder 150, Lithium 150, Cyclone 150/200.
Generales: Motores varilleros tipo CG desde 125cc hasta 200cc.",Medida 320mm. Cuenta con 5 posiciones de precarga para cuando se lleva mucha carga (reparto).,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fsu%2FVR-SUAM-00047.webp?alt=media&token=8ba25fb3-cc1c-464f-ba75-bf9d06f07127
47,VR-TRCA-00048,Transmisión,Cadena de Tracción,428H Reforzada,Conectar el piñón con el sprocket para mover la rueda.,"Paso: 428
Eslabones: 128L","Italika: FT125, FT150, DT125, DT150, Forza 125/150, DM150, DM200, 150Z.
Honda: CGL125 Tool, Cargo 125/150, XR150L
Vento: Workman 125/150, Ryder 150, Lithium 150, Crossmax 200
Bajaj: Boxer 150","Tipo 428H (Reforzada). Los eslabones son más gruesos que la cadena estándar, lo que evita que se estire rápido.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Ftr%2FVR-TRCA-00048.webp?alt=media&token=cea8c196-f291-4049-987e-fed61892c25f
48,VR-TRCC-00049,Transmisión,Kit de clutch completo,Discos + separadores + resortes / 125–150cc tipo CG,Permitir el cambio de marchas sin dañar la transmisión.,"Discos de Fricción: 5 Piezas        Base de corcho y resina orgánica. Diámetro externo (con pestañas) de aprox. 110mm.
Separadores: 4 Piezas        Acero templado con acabado ""punteado"" para mejor retención de aceite.
Resortes: 4 o 5 Piezas*        Acero de alta tensión para evitar el patinado.","Italika: FT125, FT150, DT125, DT150, Forza, Delivery 150, 125Z, 150Z (Varillera).
Honda: CGL125 Tool, Cargo 125, Cargo 150 (Varillera).
Vento: Workman 125/150, Ryder 150, Lithium 150, Cyclone 150/200.
Generales: Motores varilleros tipo CG desde 125cc hasta 200cc.","Incluye discos de corcho, separadores y resortes. Remojar los discos en aceite 30 min antes de instalarlos.",
49,VR-TRCH-00050,Transmisión,Chicote de Clutch,Para Bajaj Boxer,Accionar el embrague específicamente en motos Bajaj.,"Largo Total del Cable: 105 cm.
Largo de la Funda: 94 cm.
Carrera (Cable libre): ~11 cm (distancia que sale del forro para conectar en la leva del motor).
Terminal superior: Tipo ""martillo"" para la manija.
Terminal inferior: Punta de rosca con doble tuerca para ajuste fino en la base del motor.","Bajaj:
Boxer 150 (BM150): Versión clásica de 4 velocidades.
Boxer 150 UG: Versión ""Upgrade"" de 5 velocidades (la más común actualmente).
Boxer 150X",Más largo que el de Italika. Tiene terminales reforzadas para soportar el uso rudo de este modelo.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Ftr%2FVR-TRCH-00050.webp?alt=media&token=00768af7-439e-407f-ba7a-0ce0e55308a9
50,VR-TRPA-00052,Transmisión,Palanca de cambios,Tipo CG,Permitir al conductor seleccionar las marchas con el pie.,"Diámetro del estriado (Hoyo): 11 mm a 12 mm (Para eje de 12mm).
Largo total: 210 mm a 240 mm (Punta a punta).
Tornillo de sujeción: M6 (Requiere llave de 10mm).
Grosor del acero: 4 mm a 5 mm.","Italika: FT125, FT150, DT125, DT150, Forza, Delivery 150, 125Z, 150Z (Varillera)
Honda: CGL125 Tool, Cargo 125, Cargo 150 (Varillera)
Vento: Workman 125/150, Ryder 150, Lithium 150, Cyclone 150/200.
Generales: Motores tipo CG 125cc, 150cc, 200cc y 250cc","Hecha de acero troquelado. En caso de caída, se puede enderezar, pero si el estriado se barre, debe cambiarse de inmediato.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Ftr%2FVR-TRPA-00052.webp?alt=media&token=79f3727e-d703-4d6e-9b19-f33985644f01
51,VR-TRPN-00053,Transmisión,Piñón delantero,"14 dientes, paso 428",Engrane de salida del motor hacia la cadena.,"Paso de cadena: 428 (Es el ancho de los dientes).
Cantidad de dientes: 14.
Eje central (Estriado): * Diámetro interno (valle): 17 mm.
Diámetro externo (cresta): 20 mm.
Orificios de sujeción: Distancia de 34 mm entre los centros de los dos agujeros para los tornillos del seguro.","Italika: FT125, FT150 (todas), DT125, DT150, Forza 125, Delivery 150.
Honda: XR150L, CGL125 Tool, Cargo 125/150, CBF125.
Vento: Workman 125/150, Ryder 150, Lithium 150.
Clones CG
Similares",14 Dientes. Es la medida estándar que equilibra fuerza (torque) y velocidad final.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Ftr%2FVR-TRPN-00053.jpg?alt=media&token=3601dc4c-946d-4334-8622-07847daa32ae
52,VR-TRSP-00054,Transmisión,Sprocket Trasero,Acero 1045 / 42T,Engrane de tracción en la rueda trasera.,"Paso: 428
Barrenos: 4
Dientes: 42","Italika
Serie FT: FT150 (Versiones: G, GT, Roja, TS, Delivery, Grafito).
Serie DT: DT150 Sport, DT150 Delivery, DT150 Clasica.
Serie Forza: Forza 150.
Serie Delivery: Italika Delivery 150.
Serie Z: 150Z (Versión varillera).

Honda (Modelos de Trabajo)
Cargo 150 (GL150): Compatible con los modelos que usan la maza de 4 tornillos (principalmente versiones varilleras).
CGL125 Tool: Se puede instalar como un ""Upgrade"". La Tool originalmente trae un sprocket más pequeño (38T); ponerle este de 42T le da mucha más fuerza para subir pendientes o cargar bultos pesados, aunque reduce un poco la velocidad tope.

Vento
Workman 150 / 250: Modelos con maza de 4 barrenos.
Ryder 150.
Lithium 150.

Cyclone 150 / 200.","42 Dientes. Al ser de 4 barrenos, es compatible con la maza estándar de Italika y Honda.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Ftr%2FVR-TRSP-00054.webp?alt=media&token=6a08b768-8e4a-4c3e-87b9-f778784e6306
53,VR-TRTC-00055,Transmisión,Tensor de cadena,Tipo CG,Mantener la tensión correcta de la cadena en el basculante.,"Diámetro del barreno (hoyo para el eje): 12 mm o 15 mm (El de 12 mm es el más común para FT125/150).
Largo del tornillo: 50 mm a 60 mm.
Grosor del tornillo: 8 mm (M8).
Ancho de la placa (U): Diseñada para entrar en un basculante de 20 mm a 25 mm de ancho.","Italika: FT125, FT150 (todas), DT125, DT150, Delivery, Forza.
Honda: CGL125
Vento: Workman, Ryder, Lithium, Xpress",Ayuda a alinear la llanta trasera. Se deben usar siempre por par para que el eje no quede chueco.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Ftr%2FVR-TRTC-00055.webp?alt=media&token=6df4e739-769e-45ec-8b0b-cf8bee522bb7
